as_of_utc	lane_id	cell_id	panel_scope	split_axis	split_value	row_count	member_rows_or_refs	claim_ceiling_now	paper_thesis_use	dashboard_hook	next_threshold_move	caution
2026-06-07T18:21:24Z	limen-boost-008	PCOC-008-001	Table 1E overall	total_rows	all_rows	7	SCPANEL-008-001..SCPANEL-008-007	Seven-row package is publishable as source-depth and claim-ceiling architecture, not as a prevalence or sanction dataset.	Compact table badge and article/thesis package summary.	Table 1E overview badge; evidence-architecture summary card.	Do not widen package rhetoric unless one Finnish official companion and one meaningful research-integrity threshold change materially improve the panel.	Treat this as a bounded panel-size/control surface, not as an incident denominator.
2026-06-07T18:21:24Z	limen-boost-008	PCOC-008-002	Table 1E branch split	package_branch	procedural_contamination	2	SCPANEL-008-001..SCPANEL-008-002	Panel A currently shows one document-grade regulator anchor plus one direct-source-resolved non-official comparator with official-probe logging.	Methods/results sentence on procedural authority asymmetry.	Branch bar for procedural rows; authority-escalation sidecar.	One second document-grade court, tribunal, ministry, or institutional process-integrity row from another family or jurisdiction.	Do not narrate two rows as broad legal-system contamination evidence.
2026-06-08T09:44:02Z	limen-boost-008	PCOC-008-003	Table 1E branch split	package_branch	research_integrity	5	SCPANEL-008-003..SCPANEL-008-007	Panel B currently spans one mediated editor statement row, one archive-resolved non-Springer direct-notice row, two Springer-originating direct-notice exemplars, and one mixed residual bucket.	Methods/results and limitations sentence on source-depth heterogeneity inside research-integrity rows.	Branch bar for research-integrity rows; notice-depth ladder.	One direct SAGE notice, one seeded-row governance decision, or one second residual action record before materially stronger Panel B rhetoric.	Do not collapse all five rows into one editorial-action class or imply mature cross-publisher coverage.
2026-06-07T18:21:24Z	limen-boost-008	PCOC-008-004	Panel A procedural ladder	source_depth_state	document_grade_regulator_order	1	SCPANEL-008-001	LIMEN has one document-grade process-integrity anchor grounded in issuing-authority text.	Anchor badge for manuscript/thesis discussion of maximum current procedural authority.	Authority ladder top rung; legal-uncertainty matrix anchor.	Add one second document-grade procedural record outside the Italian regulator-order family.	Do not generalize from one regulator order to broader illegality or prevalence.
2026-06-07T18:21:24Z	limen-boost-008	PCOC-008-005	Panel A procedural ladder	source_depth_state	direct_source_resolved_non_official_plus_official_probe_log	1	SCPANEL-008-002	LIMEN has one rare-language procedural-comparator row with direct-source resolution, named institutions, and bounded official-probe context below official phenomenon confirmation.	Comparator badge for multilingual methods, limitations, and rare-language authority asymmetry.	Authority-escalation ladder; jurisdiction/language caution overlay.	Capture one Finnish police, court, ministry, or judicial-process document that independently confirms the phenomenon or procedural response.	Actor-role verification and no-hit searches are not official confirmation.
2026-06-07T18:21:24Z	limen-boost-008	PCOC-008-006	Panel B research-integrity ladder	source_depth_state	publisher_correction_metadata_plus_mediated_editor_statement	1	SCPANEL-008-003	LIMEN can show an intermediate research-integrity state stronger than discovery-only reporting but weaker than direct publisher notice text.	Methods note on attributed editor statements versus direct notices.	Lower-middle ladder rung; blocked-notice backlog facet.	Capture one direct SAGE correction, retraction, editor note, or publisher notice text.	Do not describe editorial action as final until a direct journal or publisher record is captured.
2026-06-08T09:24:28Z	limen-boost-008	PCOC-008-007	Panel B research-integrity ladder	source_depth_state	archived_direct_publisher_notice_text	1	SCPANEL-008-004	LIMEN can show one archive-resolved non-Springer direct-notice rung where Wayback captures expose reason-bearing publisher text plus original-versus-retraction role separation.	Methods/results row on how archive-resolved public publisher text differs from both metadata-only blocked pages and live reachable notice pages.	Blocked-versus-archived route facet; notice-depth ladder badge.	Decide whether one bounded row is now strong enough for an explicit seed-promotion review, or capture one direct SAGE notice to improve middle-tier depth.	Do not imply that the live NEJM page itself became reachable or that archive-resolved notice text automatically changes seeded-count status.
2026-06-08T08:54:09Z	limen-boost-008	PCOC-008-008	Panel B research-integrity ladder	grouped_top_depth	direct_notice_any	3	SCPANEL-008-004..SCPANEL-008-006	Direct publisher-originating notice text now exists across one archived NEJM row plus two Springer rows, so top-depth support is no longer confined to one publisher family.	Compact top-depth badge and reviewer-safe threshold-closure sentence.	Notice-depth funnel; venue-type comparison card; publisher-diversity threshold badge.	Decide whether one bounded row is now strong enough for an explicit seed-promotion review, or capture a direct SAGE notice to improve middle-tier depth.	Do not convert three direct notices into prevalence, cross-publisher completeness, or automatic seeded-count promotion.
2026-06-07T18:21:24Z	limen-boost-008	PCOC-008-009	Panel B research-integrity ladder	source_depth_state	mixed_residual_bucket_with_single_platform_action_escape	1	SCPANEL-008-007	LIMEN can keep one explicit mixed residual bucket visible, with one platform-action escape and two still-weak residual leads.	Methods/limitations row for backlog transparency and residual-category justification.	Residual-category panel; weak-source quarantine badge.	Capture one second residual direct action record or keep the weak bucket explicitly quarantined.	Do not restate the archived SSRN page as a plagiarism finding or treat the remaining weak rows as resolved.
2026-06-08T09:44:02Z	limen-boost-008	PCOC-008-010	Table 1E blocker split	threshold_blocker	paired_remaining_blockers	2	PTR-032-003 ; PTR-032-006	The current package has two main remaining blockers: one missing official companion for Finland and one missing direct SAGE notice for the research-integrity middle tier.	Compact reviewer-safe limitations badge separating procedural and research-integrity upgrade paths.	Two-blocker summary card; route-order queue.	Land either blocker with real public evidence before opening another packaging-only shard-008 cycle.	Do not collapse the procedural and research-integrity blockers into one generic “more sources needed” label.
