panel_id	panel_title	segment_order	segment_key	cell_count	case_ids	route_rank_if_relevant	route_target_if_relevant	evidence_used	reviewer_safe_caption	paper_use	dashboard_hook	uncertainty_note
A	Publication bucket composition	1	1_core_results	3	LIMEN-000001; LIMEN-000003; LIMEN-000008	na	na	results/security/security-agentic-publication-cell-matrix-v0.1.tsv	1_core_results currently contains 3 row(s) in the live security package.	Core figure/Table security bucket composition for methods/results prose.	publication_bucket=1_core_results	Editorial routing, not a severity or prevalence ranking.
A	Publication bucket composition	2	2_appendix_supporting_results	5	LIMEN-000004; LIMEN-000005; LIMEN-000006; LIMEN-000007; LIMEN-000009	na	na	results/security/security-agentic-publication-cell-matrix-v0.1.tsv	2_appendix_supporting_results currently contains 5 row(s) in the live security package.	Core figure/Table security bucket composition for methods/results prose.	publication_bucket=2_appendix_supporting_results	Editorial routing, not a severity or prevalence ranking.
A	Publication bucket composition	3	3_limitations_queue_only	1	LIMEN-000002	na	na	results/security/security-agentic-publication-cell-matrix-v0.1.tsv	3_limitations_queue_only currently contains 1 row(s) in the live security package.	Core figure/Table security bucket composition for methods/results prose.	publication_bucket=3_limitations_queue_only	Editorial routing, not a severity or prevalence ranking.
A	Publication bucket composition	4	0_gap_only	2	GAP-peer_reviewed_security_case_support; GAP-supply_chain_or_plugin_extension	na	na	results/security/security-agentic-publication-cell-matrix-v0.1.tsv	0_gap_only currently contains 2 row(s) in the live security package.	Core figure/Table security bucket composition for methods/results prose.	publication_bucket=0_gap_only	Editorial routing, not a severity or prevalence ranking.
B	Interoperability asymmetry among live case rows	1	exact_avid_join_present	1	LIMEN-000002	na	na	results/security/security-agentic-publication-cell-matrix-v0.1.tsv; results/security/security-agentic-crosswalk-strength-matrix-v0.1.tsv	exact_avid_join_present appears in 1 live case row(s).	Comparator-asymmetry inset or appendix chart.	interoperability_state=exact_avid_join_present	Framework joins are not equivalent to exact external incident identity.
B	Interoperability asymmetry among live case rows	2	indirect_atlas_context_only	1	LIMEN-000001	na	na	results/security/security-agentic-publication-cell-matrix-v0.1.tsv; results/security/security-agentic-crosswalk-strength-matrix-v0.1.tsv	indirect_atlas_context_only appears in 1 live case row(s).	Comparator-asymmetry inset or appendix chart.	interoperability_state=indirect_atlas_context_only	Framework joins are not equivalent to exact external incident identity.
B	Interoperability asymmetry among live case rows	3	technique_context_only	5	LIMEN-000003; LIMEN-000004; LIMEN-000005; LIMEN-000006; LIMEN-000007	na	na	results/security/security-agentic-publication-cell-matrix-v0.1.tsv; results/security/security-agentic-crosswalk-strength-matrix-v0.1.tsv	technique_context_only appears in 5 live case row(s).	Comparator-asymmetry inset or appendix chart.	interoperability_state=technique_context_only	Framework joins are not equivalent to exact external incident identity.
B	Interoperability asymmetry among live case rows	4	no_external_join_visible	2	LIMEN-000008; LIMEN-000009	na	na	results/security/security-agentic-publication-cell-matrix-v0.1.tsv; results/security/security-agentic-crosswalk-strength-matrix-v0.1.tsv	no_external_join_visible appears in 2 live case row(s).	Comparator-asymmetry inset or appendix chart.	interoperability_state=no_external_join_visible	Framework joins are not equivalent to exact external incident identity.
C	Remediation visibility states	1	exact_fix_visible	4	LIMEN-000001; LIMEN-000003; LIMEN-000008; LIMEN-000009	na	na	results/security/security-agentic-publication-cell-matrix-v0.1.tsv	exact_fix_visible appears in 4 row(s) including explicit gap controls when present.	Notice-depth / remediation-visibility figure companion.	fix_visibility_state=exact_fix_visible	Fix visibility is a source-shape measure, not proof of deployment or real-world harm.
C	Remediation visibility states	2	release_note_signal_only	2	LIMEN-000004; LIMEN-000005	na	na	results/security/security-agentic-publication-cell-matrix-v0.1.tsv	release_note_signal_only appears in 2 row(s) including explicit gap controls when present.	Notice-depth / remediation-visibility figure companion.	fix_visibility_state=release_note_signal_only	Fix visibility is a source-shape measure, not proof of deployment or real-world harm.
C	Remediation visibility states	3	source_qualified_only	2	LIMEN-000006; LIMEN-000007	na	na	results/security/security-agentic-publication-cell-matrix-v0.1.tsv	source_qualified_only appears in 2 row(s) including explicit gap controls when present.	Notice-depth / remediation-visibility figure companion.	fix_visibility_state=source_qualified_only	Fix visibility is a source-shape measure, not proof of deployment or real-world harm.
C	Remediation visibility states	4	not_confirmed	1	LIMEN-000002	na	na	results/security/security-agentic-publication-cell-matrix-v0.1.tsv	not_confirmed appears in 1 row(s) including explicit gap controls when present.	Notice-depth / remediation-visibility figure companion.	fix_visibility_state=not_confirmed	Fix visibility is a source-shape measure, not proof of deployment or real-world harm.
C	Remediation visibility states	5	none	2	GAP-peer_reviewed_security_case_support; GAP-supply_chain_or_plugin_extension	na	na	results/security/security-agentic-publication-cell-matrix-v0.1.tsv	none appears in 2 row(s) including explicit gap controls when present.	Notice-depth / remediation-visibility figure companion.	fix_visibility_state=none	Fix visibility is a source-shape measure, not proof of deployment or real-world harm.
D	Reviewer-priority next-route ladder	1	SEC-ROUTE-040-001	0	none	1	GAP-supply_chain_or_plugin_extension	results/boost/limen-boost-040/security-route-decision-register.tsv; results/security/security-agentic-balance-gap-matrix-v0.1.tsv	This is the highest-yield mechanism-diversity upgrade because one bounded row would remove the most reviewer-visible zero state without requiring broad family expansion.	Figure caption note / limitations-to-upgrade ladder for hostile-reviewer pass.	route_id=SEC-ROUTE-040-001; target=GAP-supply_chain_or_plugin_extension	Primary CVE/advisory text plus at least one direct vendor or upstream remediation surface; if only independent-lab support exists, version language must stay source-qualified.
D	Reviewer-priority next-route ladder	2	SEC-ROUTE-040-002	0	none	2	GAP-peer_reviewed_security_case_support	results/boost/limen-boost-040/security-route-decision-register.tsv; results/security/security-agentic-balance-gap-matrix-v0.1.tsv	This is the strongest authority-balance upgrade because it changes methods credibility across the whole family instead of only improving one product row.	Figure caption note / limitations-to-upgrade ladder for hostile-reviewer pass.	route_id=SEC-ROUTE-040-002; target=GAP-peer_reviewed_security_case_support	Peer-reviewed paper, workshop paper, conference proceedings, or similarly citable public technical case analysis with enough incident specificity to map cleanly to a live row.
D	Reviewer-priority next-route ladder	3	SEC-ROUTE-040-003	1	LIMEN-000002	3	LIMEN-000002	results/boost/limen-boost-040/security-route-decision-register.tsv; results/security/security-agentic-balance-gap-matrix-v0.1.tsv	This is the fastest exact-row interoperability hardening move because it upgrades the weakest exact-AVID row already central to reviewer caveats.	Figure caption note / limitations-to-upgrade ladder for hostile-reviewer pass.	route_id=SEC-ROUTE-040-003; target=LIMEN-000002	Vendor-authored advisory or release-note-grade statement explicitly tied to CVE-2024-37014, ideally with exact fixed-version language.
