case_id	cve_id	platform	record_status	evidence_tier	key_source_ids	strongest_independent_layer	exact_external_avid_id_present	atlas_context_profile	notice_visibility_profile	fixed_version_specificity	strongest_safe_claim	hostile_reviewer_overread_to_avoid	next_stronger_source_needed	paper_claim_slot	dashboard_hook	access_date
LIMEN-000001	CVE-2023-37274	Auto-GPT	authoritative	T3_authoritative_source	LIMEN-S-006; LIMEN-S-012	primary_cve_record	false	indirect_case_context	vendor_advisory_present_or_prior_local_notice_only	exact_fixed_version_in_primary_source	Primary CVE text plus vendor advisory support a bounded remediation-visibility exemplar with indirect ATLAS context only.	Do not narrate the ATLAS context row as a CVE-specific external incident match or use it for prevalence claims.	Keep AVID linkage negative or indirect unless a canonical AVID report appears; do not narrate AML.CS0052 as a CVE-specific match.	security_claim_ceiling_appendix	security_claim_ceiling_matrix; strongest_independent_layer=primary_cve_record; exact_fix=true	2026-06-07
LIMEN-000002	CVE-2024-37014	Langflow	authoritative	T3_authoritative_source	LIMEN-S-007; LIMEN-S-014; LIMEN-S-019; LIMEN-S-024; LIMEN-S-025; LIMEN-S-026; LIMEN-S-089; LIMEN-S-090	external_framework_direct_incident_id	true	indirect_case_context	formal_reviewed_advisory_plus_exact_fix_visible	exact_fixed_version_in_formal_advisory	Exact AVID incident-ID interoperability is present and a formal GitHub reviewed advisory now provides exact patched-version visibility, while OSV and CVE/NVD preserve older package-history wording that should remain source-qualified.	Do not flatten the advisory `< 1.0.15` framing and the CVE/OSV `through 0.6.19` framing into one synthetic package-history claim, and do not treat indirect ATLAS context as an exact same-case match.	Direct ATLAS same-case linkage or one incident-specific scholarly/conference-grade technical analysis would strengthen interoperability discussion; until then keep version-range wording source-qualified.	security_claim_ceiling_appendix	security_claim_ceiling_matrix; strongest_independent_layer=external_framework_direct_incident_id; exact_fix=true	2026-06-08
LIMEN-000003	CVE-2025-55284	Claude Code	authoritative	T3_authoritative_source	LIMEN-S-008; LIMEN-S-013	primary_cve_record	false	technique_only	vendor_advisory_present_or_prior_local_notice_only	exact_fixed_version_in_primary_source	Public CVE text plus vendor advisory support an approval-model failure exemplar with exact fix-version visibility.	Do not upgrade technique-only ATLAS taxonomy support into an external incident-ID match.	Keep framework linkage at technique or taxonomy level until a direct AVID report or ATLAS case-study exists.	security_claim_ceiling_appendix	security_claim_ceiling_matrix; strongest_independent_layer=primary_cve_record; exact_fix=true	2026-06-07
LIMEN-000004	CVE-2026-2285	CrewAI	authoritative	T3_authoritative_source	LIMEN-S-009; LIMEN-S-015; LIMEN-S-020; LIMEN-S-021; LIMEN-S-095; LIMEN-S-096	coordination_center_notice	false	technique_only	coordination_plus_cve_linked_vendor_fix_no_formal_advisory	exact_fixed_version_via_cve_linked_pr_and_release	Primary CVE text plus CERT or CC coordination, a CVE-linked vendor PR, and release-linked exact fixed-version visibility support a bounded file-exposure/tool-misuse row without formal vendor-bulletin certainty.	Do not convert the CVE-linked PR plus release proof into formal vendor-advisory depth, complete remediation scope, or a broader exploitability claim beyond the checked public path.	A direct vendor security advisory or exact external interoperability record would strengthen comparative remediation discussion; until then keep formal-advisory absence explicit.	security_claim_ceiling_appendix	security_claim_ceiling_matrix; strongest_independent_layer=coordination_center_notice; exact_fix=true; formal_advisory=false	2026-06-08
LIMEN-000005	CVE-2026-2286	CrewAI	authoritative	T3_authoritative_source	LIMEN-S-010; LIMEN-S-015; LIMEN-S-020; LIMEN-S-021; LIMEN-S-095; LIMEN-S-096	coordination_center_notice	false	technique_only	coordination_plus_cve_linked_vendor_fix_no_formal_advisory	exact_fixed_version_via_cve_linked_pr_and_release	Primary CVE text plus CERT or CC coordination, a CVE-linked vendor PR, and release-linked exact fixed-version visibility support a bounded retrieval/network-surface row without formal vendor-bulletin certainty.	Do not convert the CVE-linked PR plus release proof into formal vendor-advisory depth, complete remediation scope, or a broader exploitability claim beyond the checked public path.	A direct vendor security advisory or exact external interoperability record would strengthen comparative remediation discussion; until then keep formal-advisory absence explicit.	security_claim_ceiling_appendix	security_claim_ceiling_matrix; strongest_independent_layer=coordination_center_notice; exact_fix=true; formal_advisory=false	2026-06-08
LIMEN-000006	CVE-2023-29374	LangChain	authoritative	T3_authoritative_source	LIMEN-S-032; LIMEN-S-033	independent_lab_public_advisory	false	technique_only	independent_lab_plus_primary_cve_no_direct_vendor_bulletin	source_qualified_only	Public CVE text plus a public Snyk advisory support a bounded prompt-injection/code-execution exemplar and add one independent-lab layer to the package.	Do not convert the independent-lab advisory into a direct vendor bulletin, an exact single-source fixed-version statement, or a broader prevalence claim about agentic frameworks.	Direct vendor-authored advisory or release-note statement clarifying remediation versioning; direct AVID or ATLAS case linkage if it later appears.	security_claim_ceiling_appendix	security_claim_ceiling_matrix; strongest_independent_layer=independent_lab_public_advisory; exact_fix=source_qualified_only	2026-06-07
LIMEN-000007	CVE-2024-3271	LlamaIndex	authoritative	T3_authoritative_source	LIMEN-S-036; LIMEN-S-037	independent_lab_public_advisory	false	technique_only	independent_lab_plus_primary_cve_no_direct_vendor_bulletin	source_qualified_only	Public CVE text plus a public Snyk advisory support a bounded command-injection / unsafe-code-execution exemplar and add a second independent-lab layer to the package.	Do not convert the independent-lab advisory into a direct vendor bulletin, an exact single-source fixed-version statement, or a broader prevalence claim about agentic frameworks.	Direct vendor-authored advisory or release-note statement clarifying remediation versioning; direct AVID or ATLAS case linkage if it later appears.	security_claim_ceiling_appendix	security_claim_ceiling_matrix; strongest_independent_layer=independent_lab_public_advisory; exact_fix=source_qualified_only	2026-06-07
LIMEN-000008	CVE-2026-44843	LangChain	authoritative	T3_authoritative_source	LIMEN-S-041; LIMEN-S-042	primary_cve_record	false	cautious_context_only	vendor_advisory_present_or_prior_local_notice_only	exact_fixed_version_in_primary_source	Public CVE text plus a vendor GitHub advisory support a bounded memory/state contamination exemplar with exact fix-version visibility and defensive guidance about trusted-only deserialization.	Do not convert the vendor advisory's impact examples into proof of realized memory poisoning, credential disclosure, or server-side request incidents, and do not overstate the ATLAS crosswalk as an exact case match.	Direct AVID report or a carefully justified exact ATLAS case linkage if it later appears; otherwise keep this row as a vendor-authored claim-ceiling exemplar for unsafe deserialization and memory-state contamination.	security_claim_ceiling_appendix	security_claim_ceiling_matrix; strongest_independent_layer=primary_cve_record; exact_fix=true	2026-06-07
LIMEN-000009	CVE-2026-47413	PraisonAI	authoritative	T3_authoritative_source	LIMEN-S-045	vendor_security_advisory_primary_source	false	cautious_context_only	vendor_advisory_present_or_prior_local_notice_only	exact_fixed_version_in_primary_source	Upstream GitHub advisory supports a bounded identity-boundary / privilege-escalation exemplar with exact patched-version visibility, but current local support is still vendor-advisory-centric and lacks direct AVID or ATLAS case interoperability.	Do not treat the advisory as proof of realized compromise, cross-tenant exploitation in the wild, or broader comparative platform insecurity.	Add one second non-framework identity-boundary or authorization-abuse row, preferably with stronger independent support, or secure a direct external interoperability join if a canonical AVID or ATLAS case later appears.	security_claim_ceiling_appendix	security_claim_ceiling_matrix; strongest_independent_layer=vendor_security_advisory_primary_source; exact_fix=true	2026-06-07
LIMEN-000012	CVE-2025-9611	Playwright MCP	authoritative	T3_authoritative_source	LIMEN-S-051; LIMEN-S-052; LIMEN-S-075; LIMEN-S-076	primary_cve_record	false	technique_only	release_note_grade_with_independent_registry_cluster	exact_fixed_version_in_primary_source	Public NVD text, OSV, GitLab Advisory Database, and a vendor release note support a bounded MCP or browser-control trust-boundary exemplar with patched-version visibility.	Do not convert multi-registry corroboration or release-note visibility into an exact AVID or ATLAS same-case join, realized exploitation, or broad MCP ecosystem prevalence.	Direct AVID or exact ATLAS case linkage if it later appears; otherwise keep the row grounded in public vulnerability registries plus the vendor release note and use it as a release-note-qualified trust-boundary exemplar.	security_claim_ceiling_appendix	security_claim_ceiling_matrix; strongest_independent_layer=primary_cve_record; exact_fix=true	2026-06-08
LIMEN-000016	CVE-2025-47274	ToolHive	authoritative	T3_authoritative_source	LIMEN-S-071; LIMEN-S-072; LIMEN-S-073; LIMEN-S-074	external_framework_direct_incident_id	true	technique_only	vendor_advisory_present_or_prior_local_notice_only	exact_fixed_version_in_primary_source	Public GitHub advisory API plus exact AVID support and public release metadata support a bounded MCP deployment-trust and secret-exposure exemplar with exact patched-version visibility.	Do not convert the exact AVID join, vendor-authored advisory, or home-folder-access precondition into broad MCP prevalence, realized exploitation, or a stronger ATLAS same-case linkage than the local package verifies.	Exact ATLAS case linkage or one stronger same-row independent public-security analysis only if it maps directly to this case; otherwise keep the home-folder-access precondition explicit and the claim bounded to deployment-trust exposure.	security_claim_ceiling_appendix	security_claim_ceiling_matrix; strongest_independent_layer=external_framework_direct_incident_id; exact_fix=true	2026-06-08
