case_id	cve_id	platform	record_status	mechanism_family	severity	avid_join_state	atlas_join_state	owasp_mapping_state	crosswalk_strength_band	crosswalk_strength_score	why_not_stronger_yet	paper_safe_use_now	next_stronger_source_needed	source_ids	dashboard_hook
LIMEN-000001	CVE-2023-37274	Auto-GPT	authoritative	unsafe_code_execution	high	no_exact_avid_report	indirect_atlas_case_context_plus_technique	llm_plus_agentic_labels_present	B2_taxonomy_strong_but_no_exact_external_incident_id	4	keep AVID linkage negative/indirect unless a canonical AVID report appears; do not narrate AML.CS0052 as a CVE-specific match	Supports a hostile-reviewer-safe paragraph distinguishing exact cross-framework IDs from technique-only comparators.	Keep framework linkage at technique/taxonomy level until a direct AVID report or ATLAS case-study exists.	LIMEN-S-006	crosswalk_strength=B2_taxonomy_strong_but_no_exact_external_incident_id; score=4; mechanism_family=unsafe_code_execution
LIMEN-000002	CVE-2024-37014	Langflow	authoritative	unsafe_code_execution	critical	exact_avid_report_id	indirect_atlas_case_context_plus_technique	llm_plus_agentic_labels_present	B1_exact_avid_plus_indirect_atlas_plus_dual_owasp	6	no direct ATLAS same-case match was verified locally; keep the GitHub-advisory `< 1.0.15` framing and the CVE/OSV `through 0.6.19` framing source-qualified rather than flattened into one synthetic package-history claim	Supports a hostile-reviewer-safe paragraph distinguishing exact cross-framework IDs from technique-only comparators while now also carrying formal advisory and exact-fix visibility.	Keep ATLAS linkage indirect unless a canonical same-case record appears; no additional vendor notice threshold is currently required for appendix-grade use.	LIMEN-S-007; LIMEN-S-014; LIMEN-S-019; LIMEN-S-024; LIMEN-S-025; LIMEN-S-026; LIMEN-S-089; LIMEN-S-090	crosswalk_strength=B1_exact_avid_plus_indirect_atlas_plus_dual_owasp; score=6; mechanism_family=unsafe_code_execution; vendor_advisory_exact_fix_visible=true
LIMEN-000003	CVE-2025-55284	Claude Code	authoritative	exfiltration_or_exposure	high	no_exact_avid_report	technique_only	llm_plus_agentic_labels_present	B2_taxonomy_strong_but_no_exact_external_incident_id	3	keep framework linkage at technique/taxonomy level until a direct AVID report or ATLAS case-study exists	Supports a hostile-reviewer-safe paragraph distinguishing exact cross-framework IDs from technique-only comparators.	Keep framework linkage at technique/taxonomy level until a direct AVID report or ATLAS case-study exists.	LIMEN-S-008; LIMEN-S-013	crosswalk_strength=B2_taxonomy_strong_but_no_exact_external_incident_id; score=3; mechanism_family=exfiltration_or_exposure
LIMEN-000004	CVE-2026-2285	CrewAI	authoritative	exfiltration_or_exposure	high	no_exact_avid_report	technique_only	llm_plus_agentic_labels_present	B2_taxonomy_strong_but_no_exact_external_incident_id	3	keep fixed-version language bounded to release-note-grade signal; direct CVE-specific vendor advisory or exact fixed-version statement still needed; keep framework linkage at technique/taxonomy level only	Supports a hostile-reviewer-safe paragraph distinguishing exact cross-framework IDs from technique-only comparators.	Keep framework linkage at technique/taxonomy level until a direct AVID report or ATLAS case-study exists.	LIMEN-S-009; LIMEN-S-015; LIMEN-S-020; LIMEN-S-021	crosswalk_strength=B2_taxonomy_strong_but_no_exact_external_incident_id; score=3; mechanism_family=exfiltration_or_exposure
LIMEN-000005	CVE-2026-2286	CrewAI	authoritative	exfiltration_or_exposure	high	no_exact_avid_report	technique_only	llm_plus_agentic_labels_present	B2_taxonomy_strong_but_no_exact_external_incident_id	3	keep fixed-version language bounded to release-note-grade signal; direct CVE-specific vendor advisory or exact fixed-version statement still needed; keep framework linkage at technique/taxonomy level only	Supports a hostile-reviewer-safe paragraph distinguishing exact cross-framework IDs from technique-only comparators.	Keep framework linkage at technique/taxonomy level until a direct AVID report or ATLAS case-study exists.	LIMEN-S-010; LIMEN-S-015; LIMEN-S-020; LIMEN-S-021	crosswalk_strength=B2_taxonomy_strong_but_no_exact_external_incident_id; score=3; mechanism_family=exfiltration_or_exposure
LIMEN-000006	CVE-2023-29374	LangChain	authoritative	unsafe_code_execution	high	no_exact_avid_report	technique_only	llm_plus_agentic_labels_present	B2_taxonomy_strong_but_no_exact_external_incident_id	3	no direct vendor-authored advisory was verified in the bounded pass; keep fixed-version language source-qualified because the public CVE scope text and Snyk upgrade guidance are not phrased identically; keep ATLAS linkage at technique level only	Supports a hostile-reviewer-safe paragraph distinguishing exact cross-framework IDs from technique-only comparators while adding one independent-lab public-security exemplar.	Keep framework linkage at technique/taxonomy level and remediation language source-qualified unless a direct vendor-authored advisory or ATLAS case-study appears.	LIMEN-S-032; LIMEN-S-033	crosswalk_strength=B2_taxonomy_strong_but_no_exact_external_incident_id; score=3; mechanism_family=unsafe_code_execution
LIMEN-000007	CVE-2024-3271	LlamaIndex	authoritative	unsafe_code_execution	high	no_exact_avid_report	technique_only	llm_plus_agentic_labels_present	B2_taxonomy_strong_but_no_exact_external_incident_id	3	no direct vendor-authored advisory was verified in the bounded pass; keep fixed-version language source-qualified because the CVE affected-version notation and Snyk upgrade guidance are not phrased identically; keep ATLAS linkage at technique level only	Supports a hostile-reviewer-safe paragraph distinguishing exact cross-framework IDs from technique-only comparators while adding a second independent-lab public-security exemplar.	Keep framework linkage at technique/taxonomy level and remediation language source-qualified unless a direct vendor-authored advisory or ATLAS case-study appears.	LIMEN-S-036; LIMEN-S-037	crosswalk_strength=B2_taxonomy_strong_but_no_exact_external_incident_id; score=3; mechanism_family=unsafe_code_execution
LIMEN-000008	CVE-2026-44843	LangChain	authoritative	memory_state_contamination	high	no_exact_avid_report	cautious_context_only_or_none	llm_plus_agentic_labels_present	B3_dual_owasp_with_cautious_or_missing_external_crosswalk	2	keep ATLAS linkage cautious because the local package has no exact case-study match; no direct AVID incident ID was verified in the bounded pass; do not treat the advisory's impact examples as realized incident evidence	Supports a hostile-reviewer-safe paragraph showing that the package includes one vendor-backed memory/state contamination exemplar even where exact external framework joins remain absent.	Keep ATLAS linkage cautious and non-exact until a canonical case-study, technique, or AVID incident record for this row is verified.	LIMEN-S-041; LIMEN-S-042	crosswalk_strength=B3_dual_owasp_with_cautious_or_missing_external_crosswalk; score=2; mechanism_family=memory_state_contamination
LIMEN-000009	CVE-2026-47413	PraisonAI Platform	authoritative	identity_boundary_abuse	critical	no_exact_avid_report	cautious_context_only_or_none	llm_plus_agentic_labels_present	B3_dual_owasp_with_cautious_or_missing_external_crosswalk	2	No direct local AVID report or exact ATLAS case-study link was verified in the bounded pass; public CVE raw/NVD visibility was not independently resolved from this lane, so keep the row grounded in the upstream GitHub advisory and patched-version metadata only.	Supports a hostile-reviewer-safe paragraph showing that the package is no longer zero on identity-boundary abuse even though exact external framework joins remain absent.	Keep ATLAS linkage cautious and non-exact until a canonical case-study, technique, or AVID incident record for this row is verified.	LIMEN-S-045	crosswalk_strength=B3_dual_owasp_with_cautious_or_missing_external_crosswalk; score=2; mechanism_family=identity_boundary_abuse
LIMEN-000012	CVE-2025-9611	Playwright MCP	authoritative	supply_chain_or_plugin_extension	high	no_exact_avid_report	cautious_context_only_or_none	llm_plus_agentic_labels_present	B3_dual_owasp_with_cautious_or_missing_external_crosswalk	2	Keep interoperability cautious and non-exact; do not convert release-note remediation visibility into a formal vendor-security-bulletin claim or realized-exploitation proof.	Supports a hostile-reviewer-safe paragraph showing that the package now includes one MCP / plugin trust-boundary exemplar with release-note-qualified remediation visibility even where exact external framework joins remain absent.	Keep ATLAS linkage cautious and non-exact until a canonical case-study, technique, or AVID incident record for this row is verified.	LIMEN-S-051; LIMEN-S-052	crosswalk_strength=B3_dual_owasp_with_cautious_or_missing_external_crosswalk; score=2; mechanism_family=supply_chain_or_plugin_extension
